product_id,product_name,category,subcategory,brand,supplier,cost_price,selling_price,profit_margin,stock_quantity,reorder_level,warehouse_location,weight_kg,dimensions_cm,color,size,material,rating_average,review_count,launch_date,status,is_featured,warranty_months
1000,Product_Electronics_1000,Electronics,Laptops,BrandC,Supplier5,240.11,653.33,,931,51,WH-West,18.33,59x64x16,Green,S,Leather,2.4,2099,2023-08-17,Out of Stock,True,6
1001,Product_Clothing_1001,Clothing,Shirts,BrandB,Supplier4,16.96,44.32,61.73,570,94,WH-South,49.39,34x90x95,Orange,L,Cotton,1.8,1974,2020-11-22,Limited Stock,True,36
1002,Product_Home_1002,Home,General,BrandF,Supplier1,18.25,54.08,66.25,812,30,WH-Central,41.89,54x26x9,Gold,,Wood,,4758,2017-09-10,Active,False,0
1003,Product_Home_1003,Home,General,BrandA,Supplier2,245.58,362.47,32.25,434,85,WH-South,4.95,32x93x93,Pink,XS,Glass,3.0,2840,2020-05-31,Discontinued,False,36
1004,Product_Clothing_1004,Clothing,Shirts,BrandG,,385.21,1050.27,,113,43,WH-East,35.58,82x26x20,Red,S,Wood,3.2,400,2015-06-05,Discontinued,False,12
1005,Product_Clothing_1005,Clothing,Dresses,BrandD,Supplier1,71.88,186.36,61.43,382,31,WH-North,,47x24x8,Orange,XS,Mixed,3.5,2291,2015-10-06,Out of Stock,True,0
1006,Product_Toys_1006,Toys,General,BrandD,Supplier4,160.33,197.17,18.68,534,33,WH-Central,26.89,58x81x23,Red,L,Cotton,2.5,1081,2018-06-20,Out of Stock,True,12
1007,Product_Clothing_1007,Clothing,Shirts,BrandB,Supplier1,,485.24,38.64,451,47,WH-South,44.23,71x44x40,,,Wood,2.8,1164,2021-10-29,Active,False,36
1008,Product_Electronics_1008,Electronics,Tablets,BrandF,Supplier3,284.61,784.44,63.72,270,34,WH-East,34.4,75x39x16,Silver,S,Glass,,2797,2020-06-13,Limited Stock,False,6
1009,Product_Sports_1009,Sports,General,BrandF,Supplier3,295.1,435.24,32.2,85,43,WH-West,32.99,95x85x73,White,XS,Mixed,1.2,,2015-08-01,Limited Stock,False,24
1010,Product_Beauty_1010,Beauty,General,BrandD,Supplier5,116.65,,20.45,59,74,WH-South,46.15,96x42x36,Black,S,Cotton,3.1,4532,2021-05-23,Active,False,12
1011,Product_Garden_1011,Garden,General,BrandB,Supplier2,83.99,122.23,31.29,70,97,WH-West,12.63,,Red,M,Metal,3.1,2865,2022-01-13,Active,True,6
1012,Product_Home_1012,Home,General,BrandH,Supplier2,272.02,738.86,63.18,158,54,WH-East,20.67,64x10x54,White,XL,Glass,2.5,3538,2023-05-19,Active,False,0
1013,Product_Electronics_1013,Electronics,Laptops,BrandE,Supplier1,215.06,599.81,64.15,958,33,WH-North,31.01,73x81x68,Red,One Size,Mixed,1.2,4472,2017-10-26,Discontinued,False,36
1014,Product_Garden_1014,Garden,General,BrandH,Supplier2,466.67,683.24,,790,47,WH-North,38.09,50x49x51,White,XL,Metal,4.8,4080,2017-12-01,Active,True,12
1015,Product_Home_1015,Home,,BrandD,Supplier4,484.5,1213.0,60.06,362,40,WH-East,49.43,45x6x53,Pink,One Size,Metal,3.8,4793,2020-07-28,Limited Stock,True,12
1016,Product_Beauty_1016,Beauty,General,BrandH,Supplier2,224.07,305.75,26.71,110,44,WH-North,12.23,59x26x93,Green,XXL,Metal,3.4,921,2023-06-09,Out of Stock,False,36
1017,Product_Garden_1017,,General,BrandB,Supplier2,424.95,560.34,24.16,913,40,WH-North,37.32,14x35x89,Orange,S,Leather,5.0,1304,2020-06-02,Active,True,6
1018,Product_Toys_1018,Toys,General,BrandG,Supplier3,474.78,1136.02,58.21,,21,WH-East,18.57,17x44x87,Orange,XL,Glass,1.1,1020,2016-04-26,Out of Stock,,36
1019,Product_Furniture_1019,Furniture,Sofas,BrandD,Supplier4,234.05,,45.08,880,18,WH-West,42.21,70x12x23,Orange,XS,Synthetic,1.0,2699,2021-01-02,Discontinued,True,0
1020,Product_Books_1020,Books,Fiction,BrandC,Supplier2,475.38,851.61,44.18,94,73,WH-West,27.83,68x40x69,Pink,XS,Cotton,,3483,2024-08-07,Limited Stock,False,6
1021,Product_Furniture_1021,Furniture,Chairs,BrandB,Supplier5,57.09,88.97,35.83,686,51,WH-Central,39.64,27x67x9,Orange,L,,4.0,3690,2015-10-11,Limited Stock,True,6
1022,Product_Books_1022,Books,Non-Fiction,BrandC,Supplier5,281.5,614.46,54.19,516,70,WH-West,3.59,57x58x74,Silver,M,Leather,,923,2016-04-21,Limited Stock,True,36
