transaction_id,date,customer_id,product_id,category,region,sales_amount,quantity,discount_percent,tax_amount,shipping_cost,total_amount,status,payment_method,customer_segment,delivery_days,rating,is_repeat_customer,promotion_applied,season,year,month
1,2023-08-02,3457,2535,Home,Central,565.54,9,5,45.24,11.16,,Shipped,PayPal,Standard,11,,False,True,Summer,2023,8
2,2023-02-04,654,2654,Beauty,East,1472.96,20,30,117.84,18.08,1166.99,Returned,Debit Card,Basic,21,2,True,True,Winter,2023,2
3,2023-03-07,2021,9830,Garden,Central,4383.07,11,5,350.65,32.77,4547.34,Shipped,Cash,VIP,15,5,True,True,Spring,2023,3
4,2020-08-16,4159,5889,Home,South,1474.57,6,15,117.97,0.16,1371.51,Delivered,PayPal,Standard,3,4,True,False,Summer,2020,8
5,2021-03-09,992,2049,Garden,Central,4645.28,7,25,371.62,15.59,3871.17,Shipped,Cash,Standard,29,4,False,True,Spring,2021,3
6,2024-11-04,3676,4006,Food,North,3648.09,4,0,291.85,20.13,3960.07,Shipped,Cash,VIP,6,4,False,False,Fall,2024,11
7,2023-01-15,4161,4044,Clothing,South,314.18,11,0,,2.51,341.82,Returned,PayPal,Basic,13,3,,True,Winter,2023,1
8,2024-12-09,,5905,Clothing,South,353.27,8,10,28.26,14.25,360.45,Pending,PayPal,Premium,14,,True,False,Winter,2024,12
9,2020-08-17,2988,1653,Food,North,385.47,5,20,30.84,1.8,341.02,Shipped,Debit Card,Premium,30,4,True,True,Summer,2020,8
10,2022-07-31,2287,9346,Home,North,1754.8,8,5,140.38,1.18,1808.62,Pending,Bank Transfer,Standard,23,5,True,True,Summer,2022,7
11,2020-09-12,3445,7211,Furniture,East,3601.57,10,20,288.13,15.46,3184.85,Cancelled,Debit Card,Standard,10,5,True,True,Fall,2020,9
12,2023-06-05,1999,1090,Clothing,South,4250.19,3,15,340.02,20.72,3973.4,Cancelled,Bank Transfer,VIP,24,4,False,False,Summer,2023,6
13,2024-05-11,661,4788,Furniture,North,2611.29,8,10,208.9,21.99,2581.05,Delivered,Bank Transfer,Premium,10,4,True,False,Spring,2024,5
14,2022-04-08,688,3223,Furniture,West,3623.67,15,5,289.89,49.04,3781.42,Delivered,Bank Transfer,Basic,3,1,True,True,Spring,2022,4
15,2021-03-22,1342,2771,Books,West,2330.52,9,30,186.44,18.44,1836.24,Returned,Bank Transfer,Basic,22,5,True,False,Spring,2021,3
16,2023-12-19,3809,5397,Food,North,773.43,6,25,61.87,26.09,668.03,Pending,Debit Card,Basic,29,3,True,False,Winter,2023,12
17,2022-10-02,4535,7971,Home,West,2246.39,1,0,179.71,14.71,2440.81,Shipped,Cash,Basic,27,2,,True,Fall,2022,10
18,2020-09-15,421,8827,Clothing,North,3192.97,16,0,255.44,43.64,3492.05,Returned,Bank Transfer,Standard,13,4,False,True,Fall,2020,9
19,2021-03-08,3850,4792,Books,West,1330.58,3,5,106.45,11.99,1382.49,Delivered,Debit Card,Standard,6,5,False,False,Spring,2021,3
20,2022-10-08,4713,1339,Books,South,2194.42,20,0,175.55,44.47,2414.44,Delivered,Cash,Premium,11,4,False,True,Fall,2022,10
21,2022-04-07,4084,1845,Home,East,4325.9,1,25,346.07,43.47,3633.96,,Cash,Premium,4,2,False,False,Spring,2022,4
22,2020-10-23,2785,9318,Electronics,East,1924.09,20,20,153.93,37.31,1730.51,Returned,PayPal,Standard,8,,False,False,Fall,2020,10
23,2022-10-11,,3361,Furniture,East,4824.47,5,20,385.96,48.27,4293.81,Pending,Cash,Premium,8,3,True,True,Fall,2022,10
